$NORMAL,$FIGHT,$FLYING,$POISON,$GROUND,$ROCK,$BUG,$GHOST,$FIRE ,$WATER,$GRASS,$ELECTRIC,$PSYCHIC,$ICE,
2,2,2,2,2,1,2,0,2,2,2,2,2,2,
3,2,1,1,2,3,1,0,2,2,2,2,1,3,
2,3,2,2,2,1,3,2,2,2,3,1,2,2,
2,2,2,1,1,1,3,1,2,2,3,2,2,2,
2,2,0,3,2,3,1,2,3,2,1,3,2,2,
2,1,3,2,1,2,3,2,3,2,2,2,2,3,
2,1,1,3,2,2,2,1,1,2,3,2,3,2,
0,2,2,2,2,2,2,3,2,2,2,2,0,2,
2,2,2,2,2,1,3,2,1,1,3,2,2,3,
2,2,2,2,3,3,2,2,3,1,1,2,2,2,
2,2,1,1,3,3,1,2,1,3,1,2,2,2,
2,2,3,2,0,2,2,2,2,3,1,1,2,2,
2,3,2,3,2,2,2,2,2,2,2,2,1,2,
2,2,3,2,3,2,2,2,2,1,3,2,2,1
